sample	batch		value
32160790_EXO_S27	180626-180628-190531	readsAdapterNotFoundPerc	0.75983908845227
32152197_EXO_S12	180626-180628-190531	readsAdapterNotFoundPerc	1.04935962444458
32150184_EXO_S18	180626-180628-190531	readsAdapterNotFoundPerc	1.01947226550145
32161462_EXO_S13	180626-180628-190531	readsAdapterNotFoundPerc	0.852828871501528
32151184_EXO_S8	180626-180628-190531	readsAdapterNotFoundPerc	0.84458821108549
32151974_EXO_S24	180626-180628-190531	readsAdapterNotFoundPerc	1.13303500900988
32160074_EXO_S17	180626-180628-190531	readsAdapterNotFoundPerc	0.948909133689128
32151031_EXO_S19	180626-180628-190531	readsAdapterNotFoundPerc	1.67340817893272
32151484_EXO_S11	180626-180628-190531	readsAdapterNotFoundPerc	0.783284736538806
32151694_EXO_S10	180626-180628-190531	readsAdapterNotFoundPerc	1.62393944379776
32160668_EXO_S16	180626-180628-190531	readsAdapterNotFoundPerc	0.627951924458325
32152356_EXO_S21	180626-180628-190531	readsAdapterNotFoundPerc	0.663915157614063
32151971_EXO_S23	180626-180628-190531	readsAdapterNotFoundPerc	0.89129901140345
32160196_EXO_S22	180626-180628-190531	readsAdapterNotFoundPerc	0.832394493019482
32151750_EXO_S14	180626-180628-190531	readsAdapterNotFoundPerc	0.836366612914618
32150887_EXO_S28	180626-180628-190531	readsAdapterNotFoundPerc	0.940555459576172
32150225_EXO_S2	180626-180628-190531	readsAdapterNotFoundPerc	1.0436007444007
32152444_EXO_S25	180626-180628-190531	readsAdapterNotFoundPerc	0.964021242754264
32140237_EXO_S31	180626-180628-190531	readsAdapterNotFoundPerc	0.61108812675467
32150168_EXO_S6	180626-180628-190531	readsAdapterNotFoundPerc	0.944808336008168
32152194_EXO_S15	180626-180628-190531	readsAdapterNotFoundPerc	0.870467969461084
32151686_EXO_S20	180626-180628-190531	readsAdapterNotFoundPerc	0.853855440964697
32161248_EXO_S29	180626-180628-190531	readsAdapterNotFoundPerc	0.887613869889866
32161349_EXO_S5	180626-180628-190531	readsAdapterNotFoundPerc	1.43662901213919
32150855_EXO_S1	180626-180628-190531	readsAdapterNotFoundPerc	0.858207425538942
32152388_EXO_S22	180726-190530	readsAdapterNotFoundPerc	1.04015281570857
32170641_EXO_S35	180726-190530	readsAdapterNotFoundPerc	1.38793053324581
32160652_EXO_S28	180726-190530	readsAdapterNotFoundPerc	1.53250694657706
32152480_EXO_S3	180726-190530	readsAdapterNotFoundPerc	1.19199928021823
32170419_EXO_S34	180726-190530	readsAdapterNotFoundPerc	1.3121876105277
32160008_EXO_S24	180726-190530	readsAdapterNotFoundPerc	1.32312524908586
32151370_EXO_S14	180726-190530	readsAdapterNotFoundPerc	1.08597119845136
32150690_EXO_S2	180726-190530	readsAdapterNotFoundPerc	1.47181531671073
32151510_EXO_S15	180726-190530	readsAdapterNotFoundPerc	1.25801572390707
32160118_EXO_S26	180726-190530	readsAdapterNotFoundPerc	1.2124730123642
32150162_EXO_S11	180726-190530	readsAdapterNotFoundPerc	1.20455374783955
32151633_EXO_S16	180726-190530	readsAdapterNotFoundPerc	1.01040791763156
32152263_EXO_S7	180726-190530	readsAdapterNotFoundPerc	0.894147752727936
32152081_EXO_S18	180726-190530	readsAdapterNotFoundPerc	1.19333077953374
32152276_EXO_S21	180726-190530	readsAdapterNotFoundPerc	1.5640784527386
32160740_EXO_S29	180726-190530	readsAdapterNotFoundPerc	1.33854199773117
32152259_EXO_S20	180726-190530	readsAdapterNotFoundPerc	1.22359451084178
32160002_EXO_S23	180726-190530	readsAdapterNotFoundPerc	0.871184054664932
32161448_EXO_S32	180726-190530	readsAdapterNotFoundPerc	1.09609198348392
32152082_EXO_S19	180726-190530	readsAdapterNotFoundPerc	1.64927662742148
32152019_EXO_S17	180726-190530	readsAdapterNotFoundPerc	1.17371439323848
32161241_EXO_S31	180726-190530	readsAdapterNotFoundPerc	1.06386367944344
32170071_EXO_S33	180726-190530	readsAdapterNotFoundPerc	0.978070591857627
32141754_EXO_S5	180726-190530	readsAdapterNotFoundPerc	1.49348465141629
32150091_EXO_S1	180726-190530	readsAdapterNotFoundPerc	1.38441781997812
32160964_EXO_S30	180726-190530	readsAdapterNotFoundPerc	1.11828723833173
32160619_EXO_S27	180726-190530	readsAdapterNotFoundPerc	1.04513166309532
32151247_EXO_S13	180726-190530	readsAdapterNotFoundPerc	1.12344043504874
32150880_EXO_S12	180726-190530	readsAdapterNotFoundPerc	1.34271233598209
32151523_EXO_S6	180726-190530	readsAdapterNotFoundPerc	1.13636035150751
32141765_EXO_S9	180726-190530	readsAdapterNotFoundPerc	1.11036100909724
32150158_EXO_S10	180726-190530	readsAdapterNotFoundPerc	1.36478323192608
32140235_EXO_S8	180726-190530	readsAdapterNotFoundPerc	1.12451167333909
32160071_EXO_S25	180726-190530	readsAdapterNotFoundPerc	1.51554650001994
